year,total_workers,permanent_workers,temporary_workers,new_permanent,new_temporary,converted_temps,avg_wage_total,avg_wage_permanent,avg_wage_temporary,total_wage_bill,top_temp_nationalities,converted_by_country,queue_backlog_by_country
2025,5000,4980,20,0,0,0,95000.00,95000.00,95000.00,475000000.00,"{""India"": 0.75, ""Other"": 0.1, ""Mexico"": 0.05}",{},"{""Other"": 2, ""India"": 15, ""Mexico"": 1, ""Canada"": 1, ""Brazil"": 1}"
2026,5125,5106,19,121,4,5,95727.44,95728.09,95552.10,490603111.10,"{""India"": 0.8947368421052632, ""Other"": 0.05263157894736842, ""Canada"": 0.05263157894736842}","{""Other"": 1, ""India"": 1, ""Mexico"": 1, ""Canada"": 1, ""Brazil"": 1}","{""Other"": 1, ""India"": 17, ""Mexico"": 0, ""Canada"": 1, ""Brazil"": 0}"
2027,5253,5235,18,124,4,5,96414.66,96417.52,95582.77,506466207.71,"{""India"": 1.0}","{""Other"": 1, ""India"": 1, ""Mexico"": 1, ""Canada"": 1, ""China"": 1}","{""Other"": 0, ""India"": 18, ""Mexico"": 0, ""Canada"": 0, ""Brazil"": 0, ""China"": 0}"
2028,5384,5365,19,127,4,3,97180.60,97182.76,96570.63,523220339.27,"{""India"": 1.0}","{""Other"": 1, ""India"": 1, ""Mexico"": 1}","{""Other"": 0, ""India"": 19, ""Mexico"": 0, ""Canada"": 0, ""Brazil"": 0, ""China"": 0}"
2029,5518,5496,22,130,4,1,97916.25,97918.86,97264.80,540301871.79,"{""India"": 1.0}","{""India"": 1}","{""Other"": 0, ""India"": 22, ""Mexico"": 0, ""Canada"": 0, ""Brazil"": 0, ""China"": 0}"
2030,5656,5633,23,134,4,3,98597.12,98600.44,97782.91,557665290.63,"{""India"": 1.0}","{""India"": 1, ""Mexico"": 1, ""South Korea"": 1}","{""Other"": 0, ""India"": 23, ""Mexico"": 0, ""Canada"": 0, ""Brazil"": 0, ""China"": 0, ""South Korea"": 0}"
2031,5798,5772,26,137,5,2,99298.76,99306.12,97664.82,575734202.64,"{""India"": 1.0}","{""India"": 1, ""Philippines"": 1}","{""Other"": 0, ""India"": 26, ""Mexico"": 0, ""Canada"": 0, ""Brazil"": 0, ""China"": 0, ""South Korea"": 0, ""Philippines"": 0}"
2032,5943,5915,28,140,5,3,99980.90,99991.52,97737.96,594186516.78,"{""India"": 0.9642857142857143, ""China"": 0.03571428571428571}","{""India"": 1, ""Canada"": 1, ""China"": 1}","{""Other"": 0, ""India"": 27, ""Mexico"": 0, ""Canada"": 0, ""Brazil"": 0, ""China"": 1, ""South Korea"": 0, ""Philippines"": 0}"
2033,6092,6061,31,144,5,2,100630.98,100644.49,97988.03,613043906.22,"{""India"": 0.967741935483871, ""China"": 0.03225806451612903}","{""India"": 1, ""China"": 1}","{""Other"": 0, ""India"": 30, ""Mexico"": 0, ""Canada"": 0, ""Brazil"": 0, ""China"": 1, ""South Korea"": 0, ""Philippines"": 0}"
2034,6244,6211,33,147,5,3,101309.40,101323.01,98747.86,632575915.49,"{""India"": 1.0}","{""India"": 1, ""China"": 1, ""South Korea"": 1}","{""Other"": 0, ""India"": 33, ""Mexico"": 0, ""Canada"": 0, ""Brazil"": 0, ""China"": 0, ""South Korea"": 0, ""Philippines"": 0}"
2035,6400,6365,35,151,5,3,101953.73,101965.69,99779.61,652503877.82,"{""India"": 1.0}","{""India"": 1, ""Mexico"": 1, ""China"": 1}","{""Other"": 0, ""India"": 35, ""Mexico"": 0, ""Canada"": 0, ""Brazil"": 0, ""China"": 0, ""South Korea"": 0, ""Philippines"": 0}"
